Year,Player,Age,G,MP,PER,TS%,WS,VORP,FG%,FT%,TRB,AST,STL,BLK,PTS,PPG,RPG,APG,SPG,BPG
2018,Jimmy Butler\butleji01,28,59,2165.3,23.7,0.59,8.9,3.8,0.474,0.8540000000000001,312.7,289.1,118,23.6,1309.8,22.2,5.3,4.9,2,0.4
2018,Dwight Buycks\buyckdw01,28,29,426.29999999999995,12.8,0.498,0.2,-0.2,0.414,0.878,40.599999999999994,58,20.299999999999997,2.9000000000000004,214.60000000000002,7.4,1.4,2,0.7,0.1
2018,Bruno Caboclo\cabocbr01,22,12,106.80000000000001,7.7,0.386,0,-0.1,0.29,0.833,21.6,4.800000000000001,3.5999999999999996,3.5999999999999996,26.400000000000002,2.2,1.8,0.4,0.3,0.3
2018,Bruno Caboclo\cabocbr01,22,2,7,-0.1,0,0,0,0,,1,1,1,0,0,0,0.5,0.5,0.5,0
2018,Bruno Caboclo\cabocbr01,22,10,100,8.3,0.41100000000000003,0,-0.1,0.31,0.833,21,4,2,4,26,2.6,2.1,0.4,0.2,0.4
2018,Jose Calderon\caldejo01,36,57,912,11.3,0.643,1.8,0,0.503,0.8,85.5,119.7,28.5,0,256.5,4.5,1.5,2.1,0.5,0
2018,Kentavious Caldwell-Pope\caldwke01,24,74,2456.8,13.2,0.561,5.3,1.9,0.426,0.789,384.8,162.8,103.6,14.8,991.6,13.4,5.2,2.2,1.4,0.2
2018,Isaiah Canaan\canaais01,26,20,422,13.5,0.539,0.6,0,0.38,0.902,46,76,16,2,172,8.6,2.3,3.8,0.8,0.1
2018,Isaiah Canaan\canaais01,26,1,4,-7.3,0,0,0,0,,1,0,0,0,0,0,1,0,0,0
2018,Isaiah Canaan\canaais01,26,19,418,13.7,0.5429999999999999,0.7,0,0.382,0.902,43.699999999999996,76,15.200000000000001,1.9000000000000001,172.9,9.1,2.3,4,0.8,0.1
2018,Clint Capela\capelca01,23,74,2035,24.5,0.65,10.2,2.6,0.652,0.56,799.2,66.60000000000001,59.2,140.6,1028.6000000000001,13.9,10.8,0.9,0.8,1.9
2018,DeMarre Carroll\carrode01,31,73,2182.7,14.3,0.55,4.1,1.2,0.414,0.764,481.79999999999995,146,58.400000000000006,29.200000000000003,985.5,13.5,6.6,2,0.8,0.4
2018,Vince Carter\cartevi01,41,58,1026.6,10.8,0.523,1.2,0.2,0.40299999999999997,0.757,150.8,69.6,40.599999999999994,23.200000000000003,313.20000000000005,5.4,2.6,1.2,0.7,0.4
2018,Michael Carter-Williams\cartemi01,26,52,837.2,10.8,0.446,0.9,0.3,0.332,0.82,140.4,114.4,41.6,20.8,239.2,4.6,2.7,2.2,0.8,0.4
2018,Alex Caruso\carusal01,23,37,562.4,8.7,0.519,0.5,-0.1,0.431,0.7,66.60000000000001,74,22.2,11.1,133.20000000000002,3.6,1.8,2,0.6,0.3
2018,Omri Casspi\casspom01,29,53,742,15.5,0.632,2.2,0.1,0.58,0.725,201.39999999999998,53,15.899999999999999,21.200000000000003,302.1,5.7,3.8,1,0.3,0.4
2018,Willie Cauley-Stein\caulewi01,24,73,2044,17.6,0.529,3.9,1.2,0.502,0.619,511,175.2,80.30000000000001,65.7,934.4000000000001,12.8,7,2.4,1.1,0.9
2018,Tyler Cavanaugh\cavanty01,23,39,518.7,13,0.5670000000000001,1.2,0.1,0.441,0.81,128.7,27.299999999999997,7.800000000000001,3.9000000000000004,183.3,4.7,3.3,0.7,0.2,0.1
2018,Mario Chalmers\chalmma01,31,66,1419,10.4,0.503,0.6,-0.3,0.379,0.855,158.4,198,79.2,13.200000000000001,508.2,7.7,2.4,3,1.2,0.2
2018,Tyson Chandler\chandty01,35,46,1150,14.2,0.657,2.7,0.5,0.647,0.617,418.59999999999997,55.199999999999996,13.799999999999999,27.599999999999998,299,6.5,9.1,1.2,0.3,0.6
2018,Wilson Chandler\chandwi01,30,74,2345.7999999999997,11,0.542,3.3,0.6,0.445,0.772,399.6,162.8,44.4,37,740,10,5.4,2.2,0.6,0.5
2018,Marquese Chriss\chrisma01,20,72,1526.3999999999999,11.1,0.509,0.7,0,0.423,0.608,396,86.39999999999999,50.4,72,554.4,7.7,5.5,1.2,0.7,1
2018,Ian Clark\clarkia01,26,74,1457.8,9.4,0.529,1.1,-0.7,0.44799999999999995,0.763,125.8,111,29.6,7.4,547.6,7.4,1.7,1.5,0.4,0.1
2018,Jordan Clarkson\clarkjo01,25,81,1887.3,16.4,0.542,3,0.1,0.451,0.8,218.70000000000002,218.70000000000002,56.699999999999996,8.1,1125.9,13.9,2.7,2.7,0.7,0.1
2018,Jordan Clarkson\clarkjo01,25,53,1256.1,16.9,0.532,2.1,0.2,0.44799999999999995,0.795,159,174.89999999999998,37.099999999999994,5.300000000000001,768.5,14.5,3,3.3,0.7,0.1
2018,Jordan Clarkson\clarkjo01,25,28,632.8000000000001,15.4,0.565,1,-0.2,0.456,0.81,58.800000000000004,47.6,19.599999999999998,2.8000000000000003,352.8,12.6,2.1,1.7,0.7,0.1
2018,Gian Clavell\clavegi01,24,7,63.699999999999996,7.4,0.53,0.1,0,0.33299999999999996,1,7,2.8000000000000003,2.1,0,20.3,2.9,1,0.4,0.3,0
2018,Antonius Cleveland\clevean01,23,17,122.4,4.5,0.486,0,-0.1,0.381,0.667,13.600000000000001,1.7000000000000002,6.800000000000001,5.1,23.799999999999997,1.4,0.8,0.1,0.4,0.3
2018,Antonius Cleveland\clevean01,23,13,80.60000000000001,5.1,0.317,0,0,0.28600000000000003,0.5,10.4,2.6,6.5,3.9,10.4,0.8,0.8,0.2,0.5,0.3
2018,Antonius Cleveland\clevean01,23,4,42,3.5,0.825,0,-0.1,0.5710000000000001,1,4,0,1.2,1.2,13.2,3.3,1,0,0.3,0.3
2018,John Collins\collijo01,20,74,1783.4,18.3,0.62,5.4,1.7,0.5760000000000001,0.715,540.1999999999999,96.2,44.4,81.4,777,10.5,7.3,1.3,0.6,1.1
2018,Zach Collins\colliza01,20,66,1042.8,7.5,0.475,0.6,-0.3,0.39799999999999996,0.643,217.79999999999998,52.800000000000004,19.8,33,290.40000000000003,4.4,3.3,0.8,0.3,0.5
2018,Kyle Collinsworth\colliky01,26,32,480,10,0.433,0.5,0,0.384,0.525,105.6,57.6,16,9.6,102.4,3.2,3.3,1.8,0.5,0.3
2018,Darren Collison\collida01,30,69,2014.8,18.8,0.61,7.6,2.1,0.495,0.882,179.4,365.7,89.7,13.8,855.6,12.4,2.6,5.3,1.3,0.2
2018,Nick Collison\collini01,37,15,75,13.2,0.627,0.1,-0.1,0.684,0.385,19.5,4.5,0,0,31.5,2.1,1.3,0.3,0,0
2018,Mike Conley\conlemi01,30,12,373.20000000000005,15.4,0.52,0.6,0,0.381,0.8029999999999999,27.599999999999998,49.199999999999996,12,3.5999999999999996,205.20000000000002,17.1,2.3,4.1,1,0.3
2018,Pat Connaughton\connapa01,25,82,1484.2,9.3,0.539,2.5,0.3,0.423,0.841,164,90.2,24.599999999999998,24.599999999999998,442.8,5.4,2,1.1,0.3,0.3
2018,Quinn Cook\cookqu01,24,33,739.1999999999999,12.8,0.593,1.6,0,0.484,0.88,82.5,89.10000000000001,13.200000000000001,0,313.5,9.5,2.5,2.7,0.4,0
2018,Charles Cooke\cookech01,23,13,37.699999999999996,-5.1,0.20199999999999999,-0.2,-0.1,0.14300000000000002,0.5,2.6,1.3,1.3,0,6.5,0.5,0.2,0.1,0.1,0
2018,Jack Cooley\cooleja01,26,7,86.8,19.7,0.5660000000000001,0.3,0,0.48100000000000004,0.737,30.099999999999998,6.3,0.7000000000000001,0,39.9,5.7,4.3,0.9,0.1,0
2018,Matt Costello\costema01,24,4,32,9.7,0.5,0.1,0,0.5,,9.2,2,2,2,4,1,2.3,0.5,0.5,0.5
2018,DeMarcus Cousins\couside01,27,48,1737.6000000000001,22.6,0.583,4.7,3.3,0.47,0.746,619.2,259.20000000000005,76.80000000000001,76.80000000000001,1209.6,25.2,12.9,5.4,1.6,1.6
2018,Robert Covington\covinro01,27,80,2536,12.9,0.563,6.1,2.9,0.413,0.853,432,160,136,72,1008,12.6,5.4,2,1.7,0.9
2018,Allen Crabbe\crabbal01,25,75,2197.5,12.3,0.5579999999999999,3.2,0.7,0.40700000000000003,0.852,322.5,120,45,37.5,990,13.2,4.3,1.6,0.6,0.5
2018,Torrey Craig\craigto01,27,39,627.9000000000001,9.8,0.535,0.9,-0.1,0.45299999999999996,0.629,128.7,23.4,11.7,15.600000000000001,163.8,4.2,3.3,0.6,0.3,0.4
2018,Jamal Crawford\crawfja01,37,80,1656,13,0.519,1.3,-0.8,0.415,0.903,96,184,40,8,824,10.3,1.2,2.3,0.5,0.1
2018,Jordan Crawford\crawfjo02,29,5,53,19.1,0.601,0.2,0,0.444,1,4,13,1,1,33,6.6,0.8,2.6,0.2,0.2
2018,Jae Crowder\crowdja01,27,80,2088,10.4,0.525,2.6,0.1,0.40399999999999997,0.818,272,96,64,24,776,9.7,3.4,1.2,0.8,0.3
2018,Jae Crowder\crowdja01,27,53,1346.1999999999998,10.2,0.545,1.7,0.1,0.418,0.848,174.89999999999998,58.300000000000004,42.400000000000006,10.600000000000001,455.79999999999995,8.6,3.3,1.1,0.8,0.2
2018,Jae Crowder\crowdja01,27,27,745.2,10.8,0.499,0.9,0.1,0.386,0.768,102.6,40.5,24.3,8.1,318.6,11.8,3.8,1.5,0.9,0.3
2018,Dante Cunningham\cunnida01,30,73,1562.1999999999998,10,0.539,2.4,0.2,0.451,0.596,299.29999999999995,51.099999999999994,36.5,29.200000000000003,416.1,5.7,4.1,0.7,0.5,0.4
2018,Dante Cunningham\cunnida01,30,51,1116.8999999999999,8.4,0.525,1.6,0.1,0.44,0.556,193.79999999999998,25.5,25.5,15.299999999999999,255,5,3.8,0.5,0.5,0.3
