Year,Player,Age,G,MP,PER,TS%,WS,VORP,FG%,FT%,TRB,AST,STL,BLK,PTS,PPG,RPG,APG,SPG,BPG,MVP
1985,Scooter McCray,24,6,93,4.8,0.638,0,-0.1,0.6,0.75,17,7,1,3,15,2.5,2.8333333333333335,1.1666666666666667,0.16666666666666666,0.5,0
1985,Hank McDowell,25,34,132,9.8,0.506,0.2,-0.1,0.47600000000000003,0.7,22,9,3,5,47,1.3823529411764706,0.6470588235294118,0.2647058823529412,0.08823529411764706,0.14705882352941177,0
1985,Mike McGee,25,76,1170,17.3,0.5670000000000001,3,0.3,0.5379999999999999,0.588,165,71,39,7,774,10.18421052631579,2.1710526315789473,0.9342105263157895,0.5131578947368421,0.09210526315789473,0
1985,Kevin McHale*,27,79,2653,20.7,0.617,11,2.9,0.57,0.76,712,141,28,120,1565,19.810126582278482,9.012658227848101,1.7848101265822784,0.35443037974683544,1.518987341772152,0
1985,Kevin McKenna,26,29,535,10.9,0.539,0.9,0.1,0.455,0.884,49,58,30,7,165,5.689655172413793,1.6896551724137931,2,1.0344827586206897,0.2413793103448276,0
1985,Tom McMillen,32,69,1547,10.4,0.519,2.7,-0.8,0.47200000000000003,0.83,210,52,8,17,616,8.927536231884059,3.0434782608695654,0.7536231884057971,0.11594202898550725,0.2463768115942029,0
1985,Mark McNamara,25,45,273,12.9,0.542,0.4,-0.2,0.526,0.516,74,6,7,8,112,2.488888888888889,1.6444444444444444,0.13333333333333333,0.15555555555555556,0.17777777777777778,0
1985,Mark McNamara,25,12,63,16,0.637,0.1,-0.1,0.667,0.5,17,0,2,1,33,2.75,1.4166666666666667,0,0.16666666666666666,0.08333333333333333,0
1985,Mark McNamara,25,33,210,12,0.511,0.2,-0.1,0.483,0.523,57,6,5,7,79,2.393939393939394,1.7272727272727273,0.18181818181818182,0.15151515151515152,0.21212121212121213,0
1985,Joe Meriweather,31,76,1061,10.2,0.57,1.8,-0.3,0.498,0.774,263,27,17,28,339,4.4605263157894735,3.460526315789474,0.35526315789473684,0.2236842105263158,0.3684210526315789,0
